ID,EmployeeId,star,item-1,item-2,item-3,item-4,item-5,money
1,2001,1,6163,6233,6094,6280,6303,2000
2,2001,2,6165,6235,6096,6282,6310,4000
3,2001,3,6167,6237,6098,6284,6315,6000
4,2001,4,6169,6239,6100,6286,6321,8000
5,2001,5,6171,6242,6102,6288,6323,10000
6,2001,6,6174,6245,6105,6291,6329,12000
7,2002,1,6163,6233,6093,6280,6303,2000
8,2002,2,6165,6235,6095,6282,6310,4000
9,2002,3,6167,6237,6097,6284,6315,6000
10,2002,4,6169,6239,6099,6286,6321,8000
11,2002,5,6171,6242,6101,6288,6323,10000
12,2002,6,6174,6245,6104,6291,6329,12000
13,2003,1,6163,6233,6094,6280,6303,2000
14,2003,2,6165,6235,6096,6282,6310,4000
15,2003,3,6167,6237,6098,6284,6315,6000
16,2003,4,6169,6239,6100,6286,6321,8000
17,2003,5,6171,6242,6102,6288,6323,10000
18,2003,6,6174,6245,6105,6291,6329,12000
19,2004,1,6163,6233,6093,6280,6303,2000
20,2004,2,6165,6235,6095,6282,6310,4000
21,2004,3,6167,6237,6097,6284,6315,6000
22,2004,4,6169,6239,6099,6286,6321,8000
23,2004,5,6171,6242,6101,6288,6323,10000
24,2004,6,6174,6245,6104,6291,6329,12000
25,2005,1,6163,6233,6094,6280,6303,2000
26,2005,2,6165,6235,6096,6282,6310,4000
27,2005,3,6167,6237,6098,6284,6315,6000
28,2005,4,6169,6239,6100,6286,6321,8000
29,2005,5,6171,6242,6102,6288,6323,10000
30,2005,6,6174,6245,6105,6291,6329,12000
31,2006,1,6163,6233,6093,6280,6303,2000
32,2006,2,6165,6235,6095,6282,6310,4000
33,2006,3,6167,6237,6097,6284,6315,6000
34,2006,4,6169,6239,6099,6286,6321,8000
35,2006,5,6171,6242,6101,6288,6323,10000
36,2006,6,6174,6245,6104,6291,6329,12000
37,2007,1,6163,6233,6094,6280,6303,2000
38,2007,2,6165,6235,6096,6282,6310,4000
39,2007,3,6167,6237,6098,6284,6315,6000
40,2007,4,6169,6239,6100,6286,6321,8000
41,2007,5,6171,6242,6102,6288,6323,10000
42,2007,6,6174,6245,6105,6291,6329,12000
43,2008,1,6163,6233,6094,6280,6303,2000
44,2008,2,6165,6235,6096,6282,6310,4000
45,2008,3,6167,6237,6098,6284,6315,6000
46,2008,4,6169,6239,6100,6286,6321,8000
47,2008,5,6171,6242,6102,6288,6323,10000
48,2008,6,6174,6245,6105,6291,6329,12000
49,2009,1,6163,6233,6094,6280,6303,2000
50,2009,2,6165,6235,6096,6282,6310,4000
51,2009,3,6167,6237,6098,6284,6315,6000
52,2009,4,6169,6239,6100,6286,6321,8000
53,2009,5,6171,6242,6102,6288,6323,10000
54,2009,6,6174,6245,6105,6291,6329,12000
55,2010,1,6163,6233,6094,6280,6303,2000
56,2010,2,6165,6235,6096,6282,6310,4000
57,2010,3,6167,6237,6098,6284,6315,6000
58,2010,4,6169,6239,6100,6286,6321,8000
59,2010,5,6171,6242,6102,6288,6323,10000
60,2010,6,6174,6245,6105,6291,6329,12000
61,2011,1,6163,6233,6094,6280,6303,2000
62,2011,2,6165,6235,6096,6282,6310,4000
63,2011,3,6167,6237,6098,6284,6315,6000
64,2011,4,6169,6239,6100,6286,6321,8000
65,2011,5,6171,6242,6102,6288,6323,10000
66,2011,6,6174,6245,6105,6291,6329,12000
67,2012,1,6163,6233,6094,6280,6303,2000
68,2012,2,6165,6235,6096,6282,6310,4000
69,2012,3,6167,6237,6098,6284,6315,6000
70,2012,4,6169,6239,6100,6286,6321,8000
71,2012,5,6171,6242,6102,6288,6323,10000
72,2012,6,6174,6245,6105,6291,6329,12000
73,2013,1,6163,6233,6093,6280,6303,2000
74,2013,2,6165,6235,6095,6282,6310,4000
75,2013,3,6167,6237,6097,6284,6315,6000
76,2013,4,6169,6239,6099,6286,6321,8000
77,2013,5,6171,6242,6101,6288,6323,10000
78,2013,6,6174,6245,6104,6291,6329,12000
79,2014,1,6163,6233,6093,6280,6303,2000
80,2014,2,6165,6235,6095,6282,6310,4000
81,2014,3,6167,6237,6097,6284,6315,6000
82,2014,4,6169,6239,6099,6286,6321,8000
83,2014,5,6171,6242,6101,6288,6323,10000
84,2014,6,6174,6245,6104,6291,6329,12000
85,2015,1,6163,6233,6093,6280,6303,2000
86,2015,2,6165,6235,6095,6282,6310,4000
87,2015,3,6167,6237,6097,6284,6315,6000
88,2015,4,6169,6239,6099,6286,6321,8000
89,2015,5,6171,6242,6101,6288,6323,10000
90,2015,6,6174,6245,6104,6291,6329,12000
91,2016,1,6163,6233,6093,6280,6303,2000
92,2016,2,6165,6235,6095,6282,6310,4000
93,2016,3,6167,6237,6097,6284,6315,6000
94,2016,4,6169,6239,6099,6286,6321,8000
95,2016,5,6171,6242,6101,6288,6323,10000
96,2016,6,6174,6245,6104,6291,6329,12000
97,2017,1,6163,6233,6093,6280,6303,2000
98,2017,2,6165,6235,6095,6282,6310,4000
99,2017,3,6167,6237,6097,6284,6315,6000
100,2017,4,6169,6239,6099,6286,6321,8000
101,2017,5,6171,6242,6101,6288,6323,10000
102,2017,6,6174,6245,6104,6291,6329,12000
103,2018,1,6163,6233,6093,6280,6303,2000
104,2018,2,6165,6235,6095,6282,6310,4000
105,2018,3,6167,6237,6097,6284,6315,6000
106,2018,4,6169,6239,6099,6286,6321,8000
107,2018,5,6171,6242,6101,6288,6323,10000
108,2018,6,6174,6245,6104,6291,6329,12000
109,2019,1,6163,6210,6070,6280,6304,2000
110,2019,2,6165,6212,6072,6282,6309,4000
111,2019,3,6167,6214,6074,6284,6317,6000
112,2019,4,6169,6216,6076,6286,6320,8000
113,2019,5,6171,6218,6078,6288,6325,10000
114,2019,6,6174,6221,6081,6291,6330,12000
115,2020,1,6163,6210,6070,6280,6304,2000
116,2020,2,6165,6212,6072,6282,6309,4000
117,2020,3,6167,6214,6074,6284,6317,6000
118,2020,4,6169,6216,6076,6286,6320,8000
119,2020,5,6171,6218,6078,6288,6325,10000
120,2020,6,6174,6221,6081,6291,6330,12000
121,2021,1,6163,6210,6070,6280,6304,2000
122,2021,2,6165,6212,6072,6282,6309,4000
123,2021,3,6167,6214,6074,6284,6317,6000
124,2021,4,6169,6216,6076,6286,6320,8000
125,2021,5,6171,6218,6078,6288,6325,10000
126,2021,6,6174,6221,6081,6291,6330,12000
127,2022,1,6163,6210,6070,6280,6304,2000
128,2022,2,6165,6212,6072,6282,6309,4000
129,2022,3,6167,6214,6074,6284,6317,6000
130,2022,4,6169,6216,6076,6286,6320,8000
131,2022,5,6171,6218,6078,6288,6325,10000
132,2022,6,6174,6221,6081,6291,6330,12000
133,2023,1,6163,6210,6070,6280,6304,2000
134,2023,2,6165,6212,6072,6282,6309,4000
135,2023,3,6167,6214,6074,6284,6317,6000
136,2023,4,6169,6216,6076,6286,6320,8000
137,2023,5,6171,6218,6078,6288,6325,10000
138,2023,6,6174,6221,6081,6291,6330,12000
139,2024,1,6163,6210,6070,6280,6304,2000
140,2024,2,6165,6212,6072,6282,6309,4000
141,2024,3,6167,6214,6074,6284,6317,6000
142,2024,4,6169,6216,6076,6286,6320,8000
143,2024,5,6171,6218,6078,6288,6325,10000
144,2024,6,6174,6221,6081,6291,6330,12000
145,2025,1,6163,6210,6116,6280,6304,2000
146,2025,2,6165,6212,6118,6282,6309,4000
147,2025,3,6167,6214,6120,6284,6317,6000
148,2025,4,6169,6216,6122,6286,6320,8000
149,2025,5,6171,6218,6124,6288,6325,10000
150,2025,6,6174,6221,6127,6291,6330,12000
151,2026,1,6163,6210,6116,6280,6304,2000
152,2026,2,6165,6212,6118,6282,6309,4000
153,2026,3,6167,6214,6120,6284,6317,6000
154,2026,4,6169,6216,6122,6286,6320,8000
155,2026,5,6171,6218,6124,6288,6325,10000
156,2026,6,6174,6221,6127,6291,6330,12000
157,2027,1,6163,6210,6116,6280,6304,2000
158,2027,2,6165,6212,6118,6282,6309,4000
159,2027,3,6167,6214,6120,6284,6317,6000
160,2027,4,6169,6216,6122,6286,6320,8000
161,2027,5,6171,6218,6124,6288,6325,10000
162,2027,6,6174,6221,6127,6291,6330,12000
163,2028,1,6163,6210,6116,6280,6304,2000
164,2028,2,6165,6212,6118,6282,6309,4000
165,2028,3,6167,6214,6120,6284,6317,6000
166,2028,4,6169,6216,6122,6286,6320,8000
167,2028,5,6171,6218,6124,6288,6325,10000
168,2028,6,6174,6221,6127,6291,6330,12000
169,2029,1,6163,6210,6116,6280,6304,2000
170,2029,2,6165,6212,6118,6282,6309,4000
171,2029,3,6167,6214,6120,6284,6317,6000
172,2029,4,6169,6216,6122,6286,6320,8000
173,2029,5,6171,6218,6124,6288,6325,10000
174,2029,6,6174,6221,6127,6291,6330,12000
175,2030,1,6163,6210,6116,6280,6304,2000
176,2030,2,6165,6212,6118,6282,6309,4000
177,2030,3,6167,6214,6120,6284,6317,6000
178,2030,4,6169,6216,6122,6286,6320,8000
179,2030,5,6171,6218,6124,6288,6325,10000
180,2030,6,6174,6221,6127,6291,6330,12000
181,2031,1,6139,6187,6024,6257,6304,2000
182,2031,2,6141,6189,6026,6259,6309,4000
183,2031,3,6143,6191,6028,6261,6314,6000
184,2031,4,6145,6193,6030,6263,6320,8000
185,2031,5,6147,6195,6032,6265,6325,10000
186,2031,6,6150,6198,6035,6268,6332,12000
187,2032,1,6139,6187,6024,6257,6304,2000
188,2032,2,6141,6189,6026,6259,6309,4000
189,2032,3,6143,6191,6028,6261,6314,6000
190,2032,4,6145,6193,6030,6263,6320,8000
191,2032,5,6147,6195,6032,6265,6325,10000
192,2032,6,6150,6198,6035,6268,6332,12000
193,2033,1,6139,6187,6024,6257,6304,2000
194,2033,2,6141,6189,6026,6259,6309,4000
195,2033,3,6143,6191,6028,6261,6314,6000
196,2033,4,6145,6193,6030,6263,6320,8000
197,2033,5,6147,6195,6032,6265,6325,10000
198,2033,6,6150,6198,6035,6268,6332,12000
199,2034,1,6139,6187,6024,6257,6304,2000
200,2034,2,6141,6189,6026,6259,6309,4000
201,2034,3,6143,6191,6028,6261,6314,6000
202,2034,4,6145,6193,6030,6263,6320,8000
203,2034,5,6147,6195,6032,6265,6325,10000
204,2034,6,6150,6198,6035,6268,6332,12000
205,2035,1,6139,6187,6024,6257,6304,2000
206,2035,2,6141,6189,6026,6259,6309,4000
207,2035,3,6143,6191,6028,6261,6314,6000
208,2035,4,6145,6193,6030,6263,6320,8000
209,2035,5,6147,6195,6032,6265,6325,10000
210,2035,6,6150,6198,6035,6268,6332,12000
211,2036,1,6139,6187,6024,6257,6304,2000
212,2036,2,6141,6189,6026,6259,6309,4000
213,2036,3,6143,6191,6028,6261,6314,6000
214,2036,4,6145,6193,6030,6263,6320,8000
215,2036,5,6147,6195,6032,6265,6325,10000
216,2036,6,6150,6198,6035,6268,6332,12000
217,2037,1,6139,6187,6001,6257,6304,2000
218,2037,2,6141,6189,6003,6259,6309,4000
219,2037,3,6143,6191,6005,6261,6314,6000
220,2037,4,6145,6193,6007,6263,6320,8000
221,2037,5,6147,6195,6009,6265,6325,10000
222,2037,6,6150,6198,6012,6268,6332,12000
223,2038,1,6139,6187,6001,6257,6304,2000
224,2038,2,6141,6189,6003,6259,6309,4000
225,2038,3,6143,6191,6005,6261,6314,6000
226,2038,4,6145,6193,6007,6263,6320,8000
227,2038,5,6147,6195,6009,6265,6325,10000
228,2038,6,6150,6198,6012,6268,6332,12000
229,2039,1,6139,6187,6001,6257,6304,2000
230,2039,2,6141,6189,6003,6259,6309,4000
231,2039,3,6143,6191,6005,6261,6314,6000
232,2039,4,6145,6193,6007,6263,6320,8000
233,2039,5,6147,6195,6009,6265,6325,10000
234,2039,6,6150,6198,6012,6268,6332,12000
235,2040,1,6139,6187,6001,6257,6304,2000
236,2040,2,6141,6189,6003,6259,6309,4000
237,2040,3,6143,6191,6005,6261,6314,6000
238,2040,4,6145,6193,6007,6263,6320,8000
239,2040,5,6147,6195,6009,6265,6325,10000
240,2040,6,6150,6198,6012,6268,6332,12000
241,2041,1,6139,6187,6001,6257,6304,2000
242,2041,2,6141,6189,6003,6259,6309,4000
243,2041,3,6143,6191,6005,6261,6314,6000
244,2041,4,6145,6193,6007,6263,6320,8000
245,2041,5,6147,6195,6009,6265,6325,10000
246,2041,6,6150,6198,6012,6268,6332,12000
247,2042,1,6139,6187,6001,6257,6304,2000
248,2042,2,6141,6189,6003,6259,6309,4000
249,2042,3,6143,6191,6005,6261,6314,6000
250,2042,4,6145,6193,6007,6263,6320,8000
251,2042,5,6147,6195,6009,6265,6325,10000
252,2042,6,6150,6198,6012,6268,6332,12000
253,2043,1,6139,6187,6047,6257,6304,2000
254,2043,2,6141,6189,6049,6259,6309,4000
255,2043,3,6143,6191,6051,6261,6314,6000
256,2043,4,6145,6193,6053,6263,6320,8000
257,2043,5,6147,6195,6055,6265,6325,10000
258,2043,6,6150,6198,6058,6268,6332,12000
259,2044,1,6139,6187,6047,6257,6304,2000
260,2044,2,6141,6189,6049,6259,6309,4000
261,2044,3,6143,6191,6051,6261,6314,6000
262,2044,4,6145,6193,6053,6263,6320,8000
263,2044,5,6147,6195,6055,6265,6325,10000
264,2044,6,6150,6198,6058,6268,6332,12000
265,2045,1,6139,6187,6047,6257,6304,2000
266,2045,2,6141,6189,6049,6259,6309,4000
267,2045,3,6143,6191,6051,6261,6314,6000
268,2045,4,6145,6193,6053,6263,6320,8000
269,2045,5,6147,6195,6055,6265,6325,10000
270,2045,6,6150,6198,6058,6268,6332,12000
271,2046,1,6139,6187,6047,6257,6304,2000
272,2046,2,6141,6189,6049,6259,6309,4000
273,2046,3,6143,6191,6051,6261,6314,6000
274,2046,4,6145,6193,6053,6263,6320,8000
275,2046,5,6147,6195,6055,6265,6325,10000
276,2046,6,6150,6198,6058,6268,6332,12000
277,2047,1,6139,6187,6047,6257,6304,2000
278,2047,2,6141,6189,6049,6259,6309,4000
279,2047,3,6143,6191,6051,6261,6314,6000
280,2047,4,6145,6193,6053,6263,6320,8000
281,2047,5,6147,6195,6055,6265,6325,10000
282,2047,6,6150,6198,6058,6268,6332,12000
283,2048,1,6139,6187,6047,6257,6304,2000
284,2048,2,6141,6189,6049,6259,6309,4000
285,2048,3,6143,6191,6051,6261,6314,6000
286,2048,4,6145,6193,6053,6263,6320,8000
287,2048,5,6147,6195,6055,6265,6325,10000
288,2048,6,6150,6198,6058,6268,6332,12000
289,2049,1,6163,6210,6001,6280,6304,2000
290,2049,2,6165,6212,6003,6282,6309,4000
291,2049,3,6167,6214,6005,6284,6317,6000
292,2049,4,6169,6216,6007,6286,6320,8000
293,2049,5,6171,6218,6009,6288,6325,10000
294,2049,6,6174,6221,6012,6291,6330,12000
295,2050,1,6163,6210,6001,6280,6304,2000
296,2050,2,6165,6212,6003,6282,6309,4000
297,2050,3,6167,6214,6005,6284,6317,6000
298,2050,4,6169,6216,6007,6286,6320,8000
299,2050,5,6171,6218,6009,6288,6325,10000
300,2050,6,6174,6221,6012,6291,6330,12000
301,2051,1,6163,6210,6001,6280,6304,2000
302,2051,2,6165,6212,6003,6282,6309,4000
303,2051,3,6167,6214,6005,6284,6317,6000
304,2051,4,6169,6216,6007,6286,6320,8000
305,2051,5,6171,6218,6009,6288,6325,10000
306,2051,6,6174,6221,6012,6291,6330,12000
307,2052,1,6163,6210,6001,6280,6304,2000
308,2052,2,6165,6212,6003,6282,6309,4000
309,2052,3,6167,6214,6005,6284,6317,6000
310,2052,4,6169,6216,6007,6286,6320,8000
311,2052,5,6171,6218,6009,6288,6325,10000
312,2052,6,6174,6221,6012,6291,6330,12000
313,2053,1,6163,6210,6001,6280,6304,2000
314,2053,2,6165,6212,6003,6282,6309,4000
315,2053,3,6167,6214,6005,6284,6317,6000
316,2053,4,6169,6216,6007,6286,6320,8000
317,2053,5,6171,6218,6009,6288,6325,10000
318,2053,6,6174,6221,6012,6291,6330,12000
319,2054,1,6163,6210,6001,6280,6304,2000
320,2054,2,6165,6212,6003,6282,6309,4000
321,2054,3,6167,6214,6005,6284,6317,6000
322,2054,4,6169,6216,6007,6286,6320,8000
323,2054,5,6171,6218,6009,6288,6325,10000
324,2054,6,6174,6221,6012,6291,6330,12000
325,2055,1,6163,6233,6094,6280,6303,2000
326,2055,2,6165,6235,6096,6282,6310,4000
327,2055,3,6167,6237,6098,6284,6315,6000
328,2055,4,6169,6239,6100,6286,6321,8000
329,2055,5,6171,6242,6102,6288,6323,10000
330,2055,6,6174,6245,6105,6291,6329,12000
331,2056,1,6163,6233,6094,6280,6303,2000
332,2056,2,6165,6235,6096,6282,6310,4000
333,2056,3,6167,6237,6098,6284,6315,6000
334,2056,4,6169,6239,6100,6286,6321,8000
335,2056,5,6171,6242,6102,6288,6323,10000
336,2056,6,6174,6245,6105,6291,6329,12000
337,2057,1,6163,6233,6094,6280,6303,2000
338,2057,2,6165,6235,6096,6282,6310,4000
339,2057,3,6167,6237,6098,6284,6315,6000
340,2057,4,6169,6239,6100,6286,6321,8000
341,2057,5,6171,6242,6102,6288,6323,10000
342,2057,6,6174,6245,6105,6291,6329,12000
343,2058,1,6163,6233,6094,6280,6303,2000
344,2058,2,6165,6235,6096,6282,6310,4000
345,2058,3,6167,6237,6098,6284,6315,6000
346,2058,4,6169,6239,6100,6286,6321,8000
347,2058,5,6171,6242,6102,6288,6323,10000
348,2058,6,6174,6245,6105,6291,6329,12000
349,2059,1,6163,6233,6094,6280,6303,2000
350,2059,2,6165,6235,6096,6282,6310,4000
351,2059,3,6167,6237,6098,6284,6315,6000
352,2059,4,6169,6239,6100,6286,6321,8000
353,2059,5,6171,6242,6102,6288,6323,10000
354,2059,6,6174,6245,6105,6291,6329,12000
355,2060,1,6163,6233,6094,6280,6303,2000
356,2060,2,6165,6235,6096,6282,6310,4000
357,2060,3,6167,6237,6098,6284,6315,6000
358,2060,4,6169,6239,6100,6286,6321,8000
359,2060,5,6171,6242,6102,6288,6323,10000
360,2060,6,6174,6245,6105,6291,6329,12000
361,2061,1,6163,6233,6093,6280,6303,2000
362,2061,2,6165,6235,6095,6282,6310,4000
363,2061,3,6167,6237,6097,6284,6315,6000
364,2061,4,6169,6239,6099,6286,6321,8000
365,2061,5,6171,6242,6101,6288,6323,10000
366,2061,6,6174,6245,6104,6291,6329,12000
367,2062,1,6163,6233,6094,6280,6303,2000
368,2062,2,6165,6235,6096,6282,6310,4000
369,2062,3,6167,6237,6098,6284,6315,6000
370,2062,4,6169,6239,6100,6286,6321,8000
371,2062,5,6171,6242,6102,6288,6323,10000
372,2062,6,6174,6245,6105,6291,6329,12000
373,2063,1,6163,6233,6093,6280,6303,2000
374,2063,2,6165,6235,6095,6282,6310,4000
375,2063,3,6167,6237,6097,6284,6315,6000
376,2063,4,6169,6239,6099,6286,6321,8000
377,2063,5,6171,6242,6101,6288,6323,10000
378,2063,6,6174,6245,6104,6291,6329,12000
379,2064,1,6163,6210,6070,6280,6304,2000
380,2064,2,6165,6212,6072,6282,6309,4000
381,2064,3,6167,6214,6074,6284,6317,6000
382,2064,4,6169,6216,6076,6286,6320,8000
383,2064,5,6171,6218,6078,6288,6325,10000
384,2064,6,6174,6221,6081,6291,6330,12000
385,2065,1,6163,6210,6116,6280,6304,2000
386,2065,2,6165,6212,6118,6282,6309,4000
387,2065,3,6167,6214,6120,6284,6317,6000
388,2065,4,6169,6216,6122,6286,6320,8000
389,2065,5,6171,6218,6124,6288,6325,10000
390,2065,6,6174,6221,6127,6291,6330,12000
391,2066,1,6139,6187,6024,6257,6304,2000
392,2066,2,6141,6189,6026,6259,6309,4000
393,2066,3,6143,6191,6028,6261,6314,6000
394,2066,4,6145,6193,6030,6263,6320,8000
395,2066,5,6147,6195,6032,6265,6325,10000
396,2066,6,6150,6198,6035,6268,6332,12000
397,2067,1,6139,6187,6001,6257,6304,2000
398,2067,2,6141,6189,6003,6259,6309,4000
399,2067,3,6143,6191,6005,6261,6314,6000
400,2067,4,6145,6193,6007,6263,6320,8000
401,2067,5,6147,6195,6009,6265,6325,10000
402,2067,6,6150,6198,6012,6268,6332,12000
403,2068,1,6139,6187,6047,6257,6304,2000
404,2068,2,6141,6189,6049,6259,6309,4000
405,2068,3,6143,6191,6051,6261,6314,6000
406,2068,4,6145,6193,6053,6263,6320,8000
407,2068,5,6147,6195,6055,6265,6325,10000
408,2068,6,6150,6198,6058,6268,6332,12000
409,2069,1,6163,6210,6001,6280,6304,2000
410,2069,2,6165,6212,6003,6282,6309,4000
411,2069,3,6167,6214,6005,6284,6317,6000
412,2069,4,6169,6216,6007,6286,6320,8000
413,2069,5,6171,6218,6009,6288,6325,10000
414,2069,6,6174,6221,6012,6291,6330,12000
415,2070,1,6163,6233,6094,6280,6303,2000
416,2070,2,6165,6235,6096,6282,6310,4000
417,2070,3,6167,6237,6098,6284,6315,6000
418,2070,4,6169,6239,6100,6286,6321,8000
419,2070,5,6171,6242,6102,6288,6323,10000
420,2070,6,6174,6245,6105,6291,6329,12000
