Id,Type,Position,Level,Show,dropID,seniordropID,Title,Icon,money,addvalue
1,MT_JinShu,1,10,3001;5086,310001,,铜矿,wakuang_1_icon,100,20
2,MT_JinShu,2,20,3002;5086,310002,,铁矿,wakuang_1_icon,200,50
3,MT_JinShu,3,30,3003;5086,310003,,银矿,wakuang_2_icon,300,100
4,MT_JinShu,4,40,3004;5086,310004,310022,铝矿,wakuang_3_icon,500,200
5,MT_JinShu,5,50,3005;5086,310005,310023,纯银矿,wakuang_4_icon,1000,300
6,MT_JinShu,6,60,3006;5086,310006,310024,金矿,wakuang_5_icon,1500,400
7,MT_MuCai,1,10,3101;5086,310007,,轻木采伐,kanshu_1_icon,100,20
8,MT_MuCai,2,20,3102;5086,310008,,枞采伐,kanshu_1_icon,200,50
9,MT_MuCai,3,30,3103;5086,310009,,黄月木采伐,kanshu_2_icon,300,100
10,MT_MuCai,4,40,3104;5086,310010,310028,茱萸木采伐,kanshu_3_icon,500,200
11,MT_MuCai,5,50,3105;5086,310011,310029,铁杉采伐,kanshu_4_icon,1000,300
12,MT_MuCai,6,60,3106;5086,310012,310030,琵琶木采伐,kanshu_5_icon,1500,400
13,MT_BuLiao,1,10,3401;5086,310013,,木绵生产厂,zhibu_1_icon,100,20
14,MT_BuLiao,2,20,3402;5086,310014,,布生产厂,zhibu_1_icon,200,50
15,MT_BuLiao,3,30,3403;5086,310015,,毛毡生产厂,zhibu_2_icon,300,100
16,MT_BuLiao,4,40,3404;5086,310016,310034,棉生产厂,zhibu_3icon,500,200
17,MT_BuLiao,5,50,3405;5086,310017,310035,细线生产厂,zhibu_4icon,1000,300
18,MT_BuLiao,6,60,3406;5086,310018,310036,绢布生产厂,zhibu_5_icon,1500,400
19,MT_JinShu,7,70,3007;5086,310037,310040,白金加工,wakuang_6_icon,2500,600
20,MT_MuCai,7,70,3107;5086,310038,310041,赤松加工,kanshu_6_icon,2500,600
21,MT_BuLiao,7,70,3407;5086,310039,310042,莎莲娜线加工,zhibu_6_icon,2500,600
