Group,ItemId,ItemStack,Weight,OpenTenMinNum,OpenTenMaxNum
1001,2006,1,100,6,8
1001,2012,1,100,6,8
1001,2018,1,100,6,8
1001,2024,1,100,6,8
1001,2036,1,100,6,8
1001,2036,1,100,6,8
1001,2042,1,100,6,8
1001,2048,1,100,6,8
1001,2054,1,100,6,8
1001,2060,1,100,6,8
1002,2005,1,100,1,2
1002,2011,1,100,1,2
1002,2017,1,100,1,2
1002,2023,1,100,1,2
1002,2029,1,100,1,2
1002,2035,1,100,1,2
1002,2041,1,100,1,2
1002,2047,1,100,1,2
1002,2053,1,100,1,2
1002,2059,1,100,1,2
1003,2003,1,100,0,1
1003,2004,1,100,0,1
1003,2009,1,100,0,1
1003,2010,1,100,0,1
1003,2015,1,100,0,1
1003,2016,1,100,0,1
1003,2021,1,100,0,1
1003,2022,1,100,0,1
1003,2027,1,100,0,1
1003,2028,1,100,0,1
1003,2033,1,100,0,1
1003,2034,1,100,0,1
1003,2039,1,100,0,1
1003,2040,1,100,0,1
1003,2045,1,100,0,1
1003,2046,1,100,0,1
1003,2051,1,100,0,1
1003,2052,1,100,0,1
1003,2057,1,100,0,1
1003,2058,1,100,0,1
1004,2003,1,100,0,1
1004,2004,1,100,0,1
1004,2009,1,100,0,1
1004,2010,1,100,0,1
1004,2015,1,100,0,1
1004,2016,1,100,0,1
1004,2021,1,100,0,1
1004,2022,1,100,0,1
1004,2027,1,100,0,1
1004,2028,1,100,0,1
1004,2033,1,100,0,1
1004,2034,1,100,0,1
1004,2039,1,100,0,1
1004,2040,1,100,0,1
1004,2045,1,100,0,1
1004,2046,1,100,0,1
1004,2051,1,100,0,1
1004,2052,1,100,0,1
1004,2057,1,100,0,1
1004,2058,1,100,0,1
2001,2005,1,100,5,7
2001,2011,1,100,5,7
2001,2017,1,100,5,7
2001,2023,1,100,5,7
2001,2029,1,100,5,7
2001,2035,1,100,5,7
2001,2041,1,100,5,7
2001,2047,1,100,5,7
2001,2053,1,100,5,7
2001,2059,1,100,5,7
2002,2003,1,100,1,3
2002,2004,1,100,1,3
2002,2009,1,100,1,3
2002,2010,1,100,1,3
2002,2015,1,100,1,3
2002,2016,1,100,1,3
2002,2021,1,100,1,3
2002,2022,1,100,1,3
2002,2027,1,100,1,3
2002,2028,1,100,1,3
2002,2033,1,100,1,3
2002,2034,1,100,1,3
2002,2039,1,100,1,3
2002,2040,1,100,1,3
2002,2045,1,100,1,3
2002,2046,1,100,1,3
2002,2051,1,100,1,3
2002,2052,1,100,1,3
2002,2057,1,100,1,3
2002,2058,1,100,1,3
2003,2058,1,100,1,2
2003,2001,1,100,1,2
2003,2002,1,100,1,2
2003,2007,1,100,1,2
2003,2008,1,100,1,2
2003,2013,1,100,1,2
2003,2014,1,100,1,2
2003,2019,1,100,1,2
2003,2020,1,100,1,2
2003,2025,1,100,1,2
2003,2026,1,100,1,2
2003,2031,1,100,1,2
2003,2032,1,100,1,2
2003,2037,1,100,1,2
2003,2038,1,100,1,2
2003,2043,1,100,1,2
2003,2044,1,100,1,2
2003,2049,1,100,1,2
2003,2050,1,100,1,2
2003,2055,1,100,1,2
2003,2056,1,100,1,2
2004,2001,1,100,1,1
2004,2002,1,100,1,1
2004,2007,1,100,1,1
2004,2008,1,100,1,1
2004,2013,1,100,1,1
2004,2014,1,100,1,1
2004,2019,1,100,1,1
2004,2020,1,100,1,1
2004,2025,1,100,1,1
2004,2026,1,100,1,1
2004,2031,1,100,1,1
2004,2032,1,100,1,1
2004,2037,1,100,1,1
2004,2038,1,100,1,1
2004,2043,1,100,1,1
2004,2044,1,100,1,1
2004,2049,1,100,1,1
2004,2050,1,100,1,1
2004,2055,1,100,1,1
2004,2056,1,100,1,1
