ID,Name,Itemid,Num,Price,needlv,Timelimit
1,神秘火种,5086,1,20,1,3
2,时间水晶Lv1,1716,1,20,1,1
3,生命存储5000,5098,1,50,1,3
4,魔力存储5000,5099,1,50,1,3
5,螳螂碎片,110068,10,50,1,1
6,5级宝石箱,3805,1,20,1,1
7,高级经验球,1761,1,50,1,3
8,500技能草,1757,1,50,1,3
9,神秘火种,5086,1,20,2,3
10,时间水晶Lv1,1716,1,20,2,1
11,生命存储5000,5098,1,50,2,3
12,魔力存储5000,5099,1,50,2,3
13,螳螂碎片,110068,10,50,2,1
14,5级宝石箱,3805,1,20,2,1
15,高级经验球,1761,1,50,2,3
16,500技能草,1757,1,50,2,3
17,神秘火种,5086,1,20,3,3
18,时间水晶Lv1,1716,1,20,3,1
19,生命存储5000,5098,1,50,3,3
20,魔力存储5000,5099,1,50,3,3
21,螳螂碎片,110068,10,50,3,1
22,5级宝石箱,3805,1,20,3,1
23,高级经验球,1761,1,50,3,3
24,500技能草,1757,1,50,3,3
25,地水晶,1347,1,500,4,1
26,风水晶,1348,1,500,4,1
27,火水晶,1349,1,500,4,1
28,水水晶,1350,1,500,4,1
29,生命存储10000,5100,1,90,4,3
30,魔力存储10000,5101,1,90,4,3
31,金币6000,5044,1,200,4,3
32,怪怪箱碎片,100061,5,50,4,1
33,5级装备配方礼包,202008,1,500,4,1
34,遗失的材料箱,21351,1,100,4,3
35,神秘火种,5086,1,20,4,3
36,时间水晶Lv1,1716,1,20,4,1
37,生命存储5000,5098,1,50,4,3
38,魔力存储5000,5099,1,50,4,3
39,螳螂碎片,110068,10,50,4,1
40,5级宝石箱,3805,1,20,4,1
41,高级经验球,1761,1,50,4,3
42,500技能草,1757,1,50,4,3
43,地水晶,1347,1,500,5,1
44,风水晶,1348,1,500,5,1
45,火水晶,1349,1,500,5,1
46,水水晶,1350,1,500,5,1
47,生命存储10000,5100,1,90,5,3
48,魔力存储10000,5101,1,90,5,3
49,金币6000,5044,1,200,5,3
50,怪怪箱碎片,100061,5,50,5,1
51,5级装备配方礼包,202008,1,500,5,1
52,遗失的材料箱,21351,1,100,5,3
53,神秘火种,5086,1,20,5,3
54,时间水晶Lv1,1716,1,20,5,1
55,生命存储5000,5098,1,50,5,3
56,魔力存储5000,5099,1,50,5,3
57,螳螂碎片,110068,10,50,5,1
58,5级宝石箱,3805,1,20,5,1
59,高级经验球,1761,1,50,5,3
60,500技能草,1757,1,50,5,3
61,地水晶,1347,1,500,6,1
62,风水晶,1348,1,500,6,1
63,火水晶,1349,1,500,6,1
64,水水晶,1350,1,500,6,1
65,生命存储10000,5100,1,90,6,3
66,魔力存储10000,5101,1,90,6,3
67,金币6000,5044,1,200,6,3
68,怪怪箱碎片,100061,5,50,6,1
69,5级装备配方礼包,202008,1,500,6,1
70,遗失的材料箱,21351,1,100,6,3
71,神秘火种,5086,1,20,6,3
72,时间水晶Lv1,1716,1,20,6,1
73,生命存储5000,5098,1,50,6,3
74,魔力存储5000,5099,1,50,6,3
75,螳螂碎片,110068,10,50,6,1
76,5级宝石箱,3805,1,20,6,1
77,高级经验球,1761,1,50,6,3
78,500技能草,1757,1,50,6,3
79,8级宝石箱,3808,1,1500,7,1
80,钻石100,5045,1,1000,7,1
81,僵尸改造图A,5081,1,2000,7,1
82,僵尸改造图B,5082,1,2000,7,1
83,僵尸改造图C,5083,1,2000,7,1
84,僵尸,5051,1,2000,7,1
85,6级装备配方礼包,202009,1,2000,7,1
86,7级装备配方礼包,202010,1,4000,7,1
87,武术仙人掌碎片,110092,5,500,7,1
88,地水晶,1347,1,500,7,1
89,风水晶,1348,1,500,7,1
90,火水晶,1349,1,500,7,1
91,水水晶,1350,1,500,7,1
92,生命存储10000,5100,1,90,7,3
93,魔力存储10000,5101,1,90,7,3
94,金币6000,5044,1,200,7,3
95,怪怪箱碎片,100061,5,50,7,1
96,5级装备配方礼包,202008,1,500,7,1
97,遗失的材料箱,21351,1,100,7,3
98,神秘火种,5086,1,20,7,3
99,时间水晶Lv1,1716,1,20,7,1
100,生命存储5000,5098,1,50,7,3
101,魔力存储5000,5099,1,50,7,3
102,螳螂碎片,110068,10,50,7,1
103,5级宝石箱,3805,1,20,7,1
104,高级经验球,1761,1,50,7,3
105,500技能草,1757,1,50,7,3
106,8级宝石箱,3808,1,1500,8,1
107,钻石100,5045,1,1000,8,1
108,僵尸改造图A,5081,1,2000,8,1
109,僵尸改造图B,5082,1,2000,8,1
110,僵尸改造图C,5083,1,2000,8,1
111,僵尸,5051,1,2000,8,1
112,6级装备配方礼包,202009,1,2000,8,1
113,7级装备配方礼包,202010,1,4000,8,1
114,武术仙人掌碎片,110092,5,500,8,1
115,地水晶,1347,1,500,8,1
116,风水晶,1348,1,500,8,1
117,火水晶,1349,1,500,8,1
118,水水晶,1350,1,500,8,1
119,生命存储10000,5100,1,90,8,3
120,魔力存储10000,5101,1,90,8,3
121,金币6000,5044,1,200,8,3
122,怪怪箱碎片,100061,5,50,8,1
123,5级装备配方礼包,202008,1,500,8,1
124,遗失的材料箱,21351,1,100,8,3
125,神秘火种,5086,1,20,8,3
126,时间水晶Lv1,1716,1,20,8,1
127,生命存储5000,5098,1,50,8,3
128,魔力存储5000,5099,1,50,8,3
129,螳螂碎片,110068,10,50,8,1
130,5级宝石箱,3805,1,20,8,1
131,高级经验球,1761,1,50,8,3
132,500技能草,1757,1,50,8,3
133,8级宝石箱,3808,1,1500,9,1
134,钻石100,5045,1,1000,9,1
135,僵尸改造图A,5081,1,2000,9,1
136,僵尸改造图B,5082,1,2000,9,1
137,僵尸改造图C,5083,1,2000,9,1
138,僵尸,5051,1,2000,9,1
139,6级装备配方礼包,202009,1,2000,9,1
140,7级装备配方礼包,202010,1,4000,9,1
141,武术仙人掌碎片,110092,5,500,9,1
142,地水晶,1347,1,500,9,1
143,风水晶,1348,1,500,9,1
144,火水晶,1349,1,500,9,1
145,水水晶,1350,1,500,9,1
146,生命存储10000,5100,1,90,9,3
147,魔力存储10000,5101,1,90,9,3
148,金币6000,5044,1,200,9,3
149,怪怪箱碎片,100061,5,50,9,1
150,5级装备配方礼包,202008,1,500,9,1
151,遗失的材料箱,21351,1,100,9,3
152,神秘火种,5086,1,20,9,3
153,时间水晶Lv1,1716,1,20,9,1
154,生命存储5000,5098,1,50,9,3
155,魔力存储5000,5099,1,50,9,3
156,螳螂碎片,110068,10,50,9,1
157,5级宝石箱,3805,1,20,9,1
158,高级经验球,1761,1,50,9,3
159,500技能草,1757,1,50,9,3
160,水精碎片,110102,3,3000,10,1
161,火焰翼龙碎片,110137,3,2500,10,1
162,宠物改造图宝箱,102064,1,3000,10,1
163,8级宝石箱,3808,1,1500,10,1
164,钻石100,5045,1,1000,10,1
165,僵尸改造图A,5081,1,2000,10,1
166,僵尸改造图B,5082,1,2000,10,1
167,僵尸改造图C,5083,1,2000,10,1
168,僵尸,5051,1,2000,10,1
169,6级装备配方礼包,202009,1,2000,10,1
170,7级装备配方礼包,202010,1,4000,10,1
171,武术仙人掌碎片,110092,5,500,10,1
172,地水晶,1347,1,500,10,1
173,风水晶,1348,1,500,10,1
174,火水晶,1349,1,500,10,1
175,水水晶,1350,1,500,10,1
176,生命存储10000,5100,1,90,10,3
177,魔力存储10000,5101,1,90,10,3
178,金币6000,5044,1,200,10,3
179,怪怪箱碎片,100061,5,50,10,1
180,5级装备配方礼包,202008,1,500,10,1
181,遗失的材料箱,21351,1,100,10,3
182,神秘火种,5086,1,20,10,3
183,时间水晶Lv1,1716,1,20,10,1
184,生命存储5000,5098,1,50,10,3
185,魔力存储5000,5099,1,50,10,3
186,螳螂碎片,110068,10,50,10,1
187,5级宝石箱,3805,1,20,10,1
188,高级经验球,1761,1,50,10,3
189,500技能草,1757,1,50,10,3
