Day,ID,AtName,Item,type,target,icon
1,1,累计签到1天,5043:1;5116:1;3781:1,AT_Sign,1,day1
1,2,宠物等级达到10级,5043:1;5116:1;3771:1,AT_PetLevel,10,day1
1,3,击败100只怪物,5043:1;5116:1;3761:1,AT_KillMonster,100,day1
2,4,累计签到2天,5043:1;5116:1;110135:80,AT_Sign,2,day2
2,5,打造十件装备,5043:1;5116:1;4509:3,AT_MakeEquipment,10,day2
2,6,获得5个伙伴,5043:1;5116:1;4510:5,AT_PartnerCard,5,day2
3,7,等级达到20级,5043:1;5116:1;102013:20,AT_RoleLevel,20,day3
3,8,累计签到3天,5043:1;5116:1;102013:30,AT_Sign,3,day3
3,9,装备符文总等级达到20,5043:1;5116:1;102013:30,AT_RunesLevel,20,day3
4,10,累计签到4天,5043:1;5116:1;21350:5,AT_Sign,4,day4
4,11,完成日常任务10次,5043:1;5116:1;21350:5,AT_EverydayActivities,10,day4
4,12,完成通缉任务10次,5043:1;5116:1;21350:5,AT_Wanted,10,day4
5,13,累计签到5天,5043:1;5116:1;10024:1,AT_Sign,5,day5
5,14,拥有10名好友,5043:1;5116:1;10054:1,AT_Friend,10,day5
5,15,加入家族,5043:1;5116:1;10074:1,AT_Home,1,day5
6,16,累计签到6天,5043:1;5116:1;1880:1,AT_Sign,6,day6
6,17,给一个宠物学习5个技能,5043:1;5116:1;4511:2,AT_BabySkill,5,day6
6,18,完成1次30级副本,5043:1;5116:1;5037:1,AT_Copy30,1,day6
7,19,累计签到7天,5043:1;5116:1;5132:1,AT_Sign,7,day7
7,20,等级达到40级,5043:1;5116:1;5133:1,AT_RoleLevel,40,day7
7,21,完成1次40级副本,5043:1;5116:1;5134:1,AT_Copy40,1,day7
