pfid,pfname,anysdkid
10001,360,000023
10143,华为,160160
10150,金立游戏大厅,001145
10087,百度,000007
10057,UC,000255
10113,当乐,000003
10262,小米,000066
10247,豌豆荚,000116
10048,OPPO,000020
10376,应用宝,000550
10082,安智,000005
10381,虫虫,111226
10382,叉叉,001201
10380,乐视,001205
10100,步步高,000368
10186,魅族,000014
10172,联想乐商店,000994
10166,酷派,000078
10378,暴风,000438
10319,37wan,000931
10377,4399,000108
10193,拇指玩,000247
10379,酷狗音乐,000440
10231,搜狗,000798
10232,搜狐,111317
10385,九游,111243
10277,优酷,000466
10383,猎宝,111323
10391,顺网,160070
10384,靠谱,001082
10196,木蚂蚁,000008
10145,机锋,000002
10276,应用汇,000009
10288,有米,000376
10390,钱宝,111265
10071,tanyu0,800007
10435,tanyu1,800023
10436,tanyu2,800024
